round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.8325,Qm00000022,0,7682,0.255620,0.933346,0.9333,nan,nan,delta,Qm00000001,Qm00000002,0.6775,74.5680,74.5680,0.0000,174.5680,19.4387,0,1,0,none
0,0.8325,Qm00000022,1,6725,0.147334,0.958463,0.9585,nan,nan,delta,Qm00000003,Qm00000004,0.5000,40.9182,40.9182,0.0000,140.9182,19.0315,0,1,0,none
0,0.8325,Qm00000022,2,1321,0.223086,0.942846,0.9428,nan,nan,delta,Qm00000005,Qm00000006,0.4553,32.3912,32.3912,0.0000,132.3912,18.9259,0,1,0,none
0,0.8325,Qm00000022,3,9621,0.269931,0.923591,0.9236,nan,nan,delta,Qm00000007,Qm00000008,0.5000,29.7944,29.7944,0.0000,129.7944,19.0315,0,1,0,none
0,0.8325,Qm00000022,4,5106,0.206469,0.944751,0.9448,nan,nan,delta,Qm00000009,Qm00000010,0.5076,27.3261,27.3261,0.0000,127.3261,19.0493,0,1,0,none
0,0.8325,Qm00000022,5,4853,0.250714,0.929040,0.9290,nan,nan,delta,Qm00000011,Qm00000012,0.4514,24.6219,24.6219,0.0000,124.6219,18.9166,0,1,0,none
0,0.8325,Qm00000022,6,2291,0.326540,0.918231,0.9182,nan,nan,delta,Qm00000013,Qm00000014,0.1116,18.1210,18.1210,0.0000,118.1210,18.0857,0,1,0,none
0,0.8325,Qm00000022,7,11672,0.250637,0.928635,0.9286,nan,nan,delta,Qm00000015,Qm00000016,0.6131,25.4784,25.4784,0.0000,125.4784,19.2933,0,1,0,none
0,0.8325,Qm00000022,8,7419,0.205974,0.941726,0.9417,nan,nan,delta,Qm00000017,Qm00000018,0.9288,27.5312,27.5312,0.0000,127.5312,19.9753,0,1,0,none
0,0.8325,Qm00000022,9,3310,0.280964,0.924310,0.9243,nan,nan,delta,Qm00000019,Qm00000020,0.0448,16.6299,16.6299,0.0000,116.6299,17.9188,1,1,0,none
1,0.8846,Qm00000044,0,7682,0.196783,0.946316,0.9463,nan,nan,delta,Qm00000023,Qm00000024,0.5998,31.0951,105.6631,0.0000,205.6631,27.5889,0,1,0,none
1,0.8846,Qm00000044,1,6725,0.114329,0.965908,0.9659,nan,nan,delta,Qm00000025,Qm00000026,0.5567,28.4288,69.3470,0.0000,169.3470,27.1307,0,1,0,none
1,0.8846,Qm00000044,2,1321,0.116777,0.968509,0.9685,nan,nan,delta,Qm00000027,Qm00000028,0.5000,27.1363,59.5275,0.0000,159.5275,26.9053,0,1,0,none
1,0.8846,Qm00000044,3,9621,0.216525,0.938544,0.9385,nan,nan,delta,Qm00000029,Qm00000030,0.5000,27.6254,57.4198,0.0000,157.4198,26.9985,0,1,0,none
1,0.8846,Qm00000044,4,5106,0.153291,0.959988,0.9600,nan,nan,delta,Qm00000031,Qm00000032,0.4911,27.6395,54.9655,0.0000,154.9655,26.9932,0,1,0,none
1,0.8846,Qm00000044,5,4853,0.180253,0.947799,0.9478,nan,nan,delta,Qm00000033,Qm00000034,0.2042,23.9296,48.5515,0.0000,148.5515,26.1813,0,1,0,none
1,0.8846,Qm00000044,6,2291,0.209195,0.941394,0.9414,nan,nan,delta,Qm00000035,Qm00000036,0.0516,18.0633,36.1842,0.0000,136.1842,25.0691,0,1,0,none
1,0.8846,Qm00000044,7,11672,0.207421,0.940270,0.9403,nan,nan,delta,Qm00000037,Qm00000038,0.5000,30.1367,55.6151,0.0000,155.6151,27.2292,0,1,0,none
1,0.8846,Qm00000044,8,7419,0.147616,0.955933,0.9559,nan,nan,delta,Qm00000039,Qm00000040,0.8324,38.8780,66.4092,0.0000,166.4092,28.5744,0,1,0,none
1,0.8846,Qm00000044,9,3310,0.189582,0.945327,0.9453,nan,nan,delta,Qm00000041,Qm00000042,0.1447,18.5527,35.1826,0.0000,135.1826,25.1542,0,1,0,none
2,0.8936,Qm00000066,0,7682,0.179829,0.950386,0.9504,nan,nan,delta,Qm00000045,Qm00000046,0.5919,38.5601,144.2232,0.0000,244.2232,34.7724,0,1,0,none
2,0.8936,Qm00000066,1,6725,0.105378,0.968466,0.9685,nan,nan,delta,Qm00000047,Qm00000048,0.6470,36.4350,105.7820,0.0000,205.7820,34.4936,0,1,0,none
2,0.8936,Qm00000066,2,1321,0.102599,0.971335,0.9713,nan,nan,delta,Qm00000049,Qm00000050,0.5000,33.3657,92.8932,0.0000,192.8932,33.9561,0,1,0,none
2,0.8936,Qm00000066,3,9621,0.200624,0.942833,0.9428,nan,nan,delta,Qm00000051,Qm00000052,0.5000,33.8405,91.2602,0.0000,191.2602,34.0383,0,1,0,none
2,0.8936,Qm00000066,4,5106,0.141858,0.963448,0.9634,nan,nan,delta,Qm00000053,Qm00000054,0.4784,33.5829,88.5485,0.0000,188.5485,33.9828,0,1,0,none
2,0.8936,Qm00000066,5,4853,0.167385,0.950944,0.9509,nan,nan,delta,Qm00000055,Qm00000056,0.1707,25.6184,74.1699,0.0000,174.1699,32.5186,0,1,0,none
2,0.8936,Qm00000066,6,2291,0.184221,0.944828,0.9448,nan,nan,delta,Qm00000057,Qm00000058,0.0119,0.0000,36.1842,2.7237,133.4606,12.5345,1,1,0,none
2,0.8936,Qm00000066,7,11672,0.193380,0.944111,0.9441,nan,nan,delta,Qm00000059,Qm00000060,0.5000,35.4128,91.0279,0.0000,191.0279,34.2418,0,1,0,none
2,0.8936,Qm00000066,8,7419,0.132604,0.959608,0.9596,nan,nan,delta,Qm00000061,Qm00000062,0.8210,47.1993,113.6085,0.0000,213.6085,36.1483,0,1,0,none
2,0.8936,Qm00000066,9,3310,0.169670,0.950000,0.9500,nan,nan,delta,Qm00000063,Qm00000064,0.1960,20.8830,56.0656,0.0000,156.0656,31.6755,0,1,0,none
3,0.8978,Qm00000088,0,7682,0.171125,0.952747,0.9527,nan,nan,delta,Qm00000067,Qm00000068,0.5916,43.9444,188.1676,0.0000,288.1676,41.1306,0,1,0,none
3,0.8978,Qm00000088,1,6725,0.100703,0.969418,0.9694,nan,nan,delta,Qm00000069,Qm00000070,0.7177,43.6541,149.4361,0.0000,249.4361,41.1683,0,1,0,none
3,0.8978,Qm00000088,2,1321,0.099206,0.971133,0.9711,nan,nan,delta,Qm00000071,Qm00000072,0.5000,38.0691,130.9624,0.0000,230.9624,40.1974,0,1,0,none
3,0.8978,Qm00000088,3,9621,0.192228,0.944632,0.9446,nan,nan,delta,Qm00000073,Qm00000074,0.5000,38.4941,129.7543,0.0000,229.7543,40.2699,0,1,0,none
3,0.8978,Qm00000088,4,5106,0.137116,0.964754,0.9648,nan,nan,delta,Qm00000075,Qm00000076,0.4714,37.8801,126.4286,0.0000,226.4286,40.1534,0,1,0,none
3,0.8978,Qm00000088,5,4853,0.162148,0.952009,0.9520,nan,nan,delta,Qm00000077,Qm00000078,0.1531,26.5821,100.7520,0.0000,200.7520,38.0858,0,1,0,none
3,0.8978,Qm00000088,6,2291,0.173505,0.947199,0.9472,nan,nan,delta,Qm00000079,Qm00000080,0.0365,0.0000,36.1842,2.6692,130.7914,6.2673,1,1,0,none
3,0.8978,Qm00000088,7,11672,0.185496,0.946250,0.9463,nan,nan,delta,Qm00000081,Qm00000082,0.5000,39.5687,130.5965,0.0000,230.5965,40.4496,0,1,0,none
3,0.8978,Qm00000088,8,7419,0.125110,0.961778,0.9618,nan,nan,delta,Qm00000083,Qm00000084,0.8272,54.0567,167.6652,0.0000,267.6652,42.8654,0,1,0,none
3,0.8978,Qm00000088,9,3310,0.160238,0.951984,0.9520,nan,nan,delta,Qm00000085,Qm00000086,0.1899,22.8101,78.8757,0.0000,178.8757,37.4330,0,1,0,none
4,0.8998,Qm00000110,0,7682,0.165284,0.954226,0.9542,nan,nan,delta,Qm00000089,Qm00000090,0.5901,48.4647,236.6324,0.0000,336.6324,46.7658,0,1,0,none
4,0.8998,Qm00000110,1,6725,0.097340,0.969943,0.9699,nan,nan,delta,Qm00000091,Qm00000092,0.7488,50.4304,199.8666,0.0000,299.8666,47.1545,0,1,0,none
4,0.8998,Qm00000110,2,1321,0.098060,0.971461,0.9715,nan,nan,delta,Qm00000093,Qm00000094,0.5000,42.2155,173.1779,0.0000,273.1779,45.7323,0,1,0,none
4,0.8998,Qm00000110,3,9621,0.186590,0.945861,0.9459,nan,nan,delta,Qm00000095,Qm00000096,0.5000,42.5955,172.3498,0.0000,272.3498,45.7964,0,1,0,none
4,0.8998,Qm00000110,4,5106,0.134570,0.965472,0.9655,nan,nan,delta,Qm00000097,Qm00000098,0.4654,41.6015,168.0301,0.0000,268.0301,45.6118,0,1,0,none
4,0.8998,Qm00000110,5,4853,0.159073,0.952634,0.9526,nan,nan,delta,Qm00000099,Qm00000100,0.1366,27.2433,127.9953,0.0000,227.9953,42.9835,0,1,0,none
4,0.8998,Qm00000110,6,2291,0.167185,0.949280,0.9493,nan,nan,delta,Qm00000101,Qm00000102,0.0345,0.0000,36.1842,2.6158,128.1755,3.1336,1,1,0,none
4,0.8998,Qm00000110,7,11672,0.180135,0.947890,0.9479,nan,nan,delta,Qm00000103,Qm00000104,0.5000,43.7049,174.3014,0.0000,274.3014,45.9551,0,1,0,none
4,0.8998,Qm00000110,8,7419,0.120371,0.963162,0.9632,nan,nan,delta,Qm00000105,Qm00000106,0.8161,61.0014,228.6666,0.0000,328.6666,48.7984,0,1,0,none
4,0.8998,Qm00000110,9,3310,0.154772,0.953454,0.9535,nan,nan,delta,Qm00000107,Qm00000108,0.2117,24.8657,103.7414,0.0000,203.7414,42.5931,0,1,0,none
5,0.9023,Qm00000132,0,7682,0.161152,0.955476,0.9555,nan,nan,delta,Qm00000111,Qm00000112,0.5988,47.6338,284.2661,0.0000,384.2661,51.7929,0,1,0,none
5,0.9023,Qm00000132,1,6725,0.094914,0.970553,0.9706,nan,nan,delta,Qm00000113,Qm00000114,0.7565,52.9454,252.8119,0.0000,352.8119,52.4888,0,1,0,none
