round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7701,Qm00000022,0,7682,0.353115,0.913955,0.9140,0.6506,0.2634,delta,Qm00000001,Qm00000002,0.7568,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,1,6725,0.202935,0.944699,0.9447,0.3475,0.5972,delta,Qm00000003,Qm00000004,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,2,1321,0.339033,0.914156,0.9142,0.3894,0.5248,delta,Qm00000005,Qm00000006,0.3076,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,3,9621,0.363323,0.898846,0.8988,0.6987,0.2001,delta,Qm00000007,Qm00000008,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,4,5106,0.285929,0.924266,0.9243,0.4673,0.4570,delta,Qm00000009,Qm00000010,0.5080,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,5,4853,0.348565,0.902431,0.9024,0.6050,0.2974,delta,Qm00000011,Qm00000012,0.4354,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,6,2291,0.493912,0.879616,0.8796,0.6229,0.2567,delta,Qm00000013,Qm00000014,0.1306,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,7,11672,0.329258,0.908156,0.9082,0.6842,0.2240,delta,Qm00000015,Qm00000016,0.7432,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,8,7419,0.292374,0.919558,0.9196,0.5948,0.3248,delta,Qm00000017,Qm00000018,0.9468,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7701,Qm00000022,9,3310,0.412015,0.891631,0.8916,0.4116,0.4800,delta,Qm00000019,Qm00000020,0.0341,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
1,0.8546,Qm00000044,0,7682,0.257486,0.933338,0.9333,0.6735,0.2598,delta,Qm00000023,Qm00000024,0.6272,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,1,6725,0.154502,0.957056,0.9571,0.4232,0.5339,delta,Qm00000025,Qm00000026,0.5754,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,2,1321,0.177026,0.953596,0.9536,0.5929,0.3607,delta,Qm00000027,Qm00000028,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,3,9621,0.273542,0.924031,0.9240,0.7403,0.1837,delta,Qm00000029,Qm00000030,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,4,5106,0.199109,0.946024,0.9460,0.5381,0.4079,delta,Qm00000031,Qm00000032,0.5241,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,5,4853,0.231093,0.933134,0.9331,0.6922,0.2409,delta,Qm00000033,Qm00000034,0.2912,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,6,2291,0.296153,0.923920,0.9239,0.6867,0.2372,delta,Qm00000035,Qm00000036,0.0910,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,7,11672,0.258479,0.927073,0.9271,0.7099,0.2172,delta,Qm00000037,Qm00000038,0.5235,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,8,7419,0.198779,0.942647,0.9426,0.6390,0.3036,delta,Qm00000039,Qm00000040,0.8468,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8546,Qm00000044,9,3310,0.264639,0.926314,0.9263,0.5372,0.3891,delta,Qm00000041,Qm00000042,0.0280,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
2,0.8798,Qm00000066,0,7682,0.228703,0.937972,0.9380,0.7160,0.2220,delta,Qm00000045,Qm00000046,0.5972,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,1,6725,0.140088,0.959242,0.9592,0.5025,0.4567,delta,Qm00000047,Qm00000048,0.6000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,2,1321,0.148646,0.958516,0.9585,0.7007,0.2578,delta,Qm00000049,Qm00000050,0.5000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,3,9621,0.246749,0.930381,0.9304,0.7512,0.1792,delta,Qm00000051,Qm00000052,0.5000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,4,5106,0.177251,0.952193,0.9522,0.6323,0.3199,delta,Qm00000053,Qm00000054,0.5216,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,5,4853,0.207484,0.939934,0.9399,0.7216,0.2183,delta,Qm00000055,Qm00000056,0.2060,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,6,2291,0.250336,0.929114,0.9291,0.7424,0.1867,delta,Qm00000057,Qm00000058,0.0230,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,7,11672,0.235311,0.932342,0.9323,0.7157,0.2166,delta,Qm00000059,Qm00000060,0.5000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,8,7419,0.173289,0.947500,0.9475,0.6915,0.2560,delta,Qm00000061,Qm00000062,0.7904,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8798,Qm00000066,9,3310,0.228910,0.934048,0.9340,0.6235,0.3105,delta,Qm00000063,Qm00000064,0.1104,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
