round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7683,Qm00000022,0,7682,0.355703,0.913213,0.9132,0.6541,0.2591,delta,Qm00000001,Qm00000002,0.7378,74.5680,74.5680,0.0000,174.5680,19.5721,1,1,0,none
0,0.7683,Qm00000022,1,6725,0.202898,0.944625,0.9446,0.3469,0.5977,delta,Qm00000003,Qm00000004,0.5000,39.7072,39.7072,0.0000,139.7072,19.0315,1,1,0,none
0,0.7683,Qm00000022,2,1321,0.341998,0.912263,0.9123,0.3909,0.5214,delta,Qm00000005,Qm00000006,0.2678,26.4848,26.4848,0.0000,126.4848,18.4724,1,1,0,none
0,0.7683,Qm00000022,3,9621,0.364613,0.899782,0.8998,0.7069,0.1929,delta,Qm00000007,Qm00000008,0.5000,30.6636,30.6636,0.0000,130.6636,19.0315,1,1,0,none
0,0.7683,Qm00000022,4,5106,0.287907,0.922660,0.9227,0.4682,0.4545,delta,Qm00000009,Qm00000010,0.5091,27.9240,27.9240,0.0000,127.9240,19.0529,1,1,0,none
0,0.7683,Qm00000022,5,4853,0.350585,0.901628,0.9016,0.5967,0.3049,delta,Qm00000011,Qm00000012,0.4166,24.3958,24.3958,0.0000,124.3958,18.8337,1,1,0,none
0,0.7683,Qm00000022,6,2291,0.495164,0.879790,0.8798,0.6163,0.2635,delta,Qm00000013,Qm00000014,0.1253,18.4801,18.4801,0.0000,118.4801,18.1197,1,1,0,none
0,0.7683,Qm00000022,7,11672,0.330036,0.908088,0.9081,0.6848,0.2233,delta,Qm00000015,Qm00000016,0.7383,27.4612,27.4612,0.0000,127.4612,19.5731,1,1,0,none
0,0.7683,Qm00000022,8,7419,0.293229,0.919989,0.9200,0.5944,0.3256,delta,Qm00000017,Qm00000018,0.9405,27.6993,27.6993,0.0000,127.6993,19.9990,1,1,0,none
0,0.7683,Qm00000022,9,3310,0.415348,0.891782,0.8918,0.4155,0.4763,delta,Qm00000019,Qm00000020,0.0373,16.5406,16.5406,0.0000,116.5406,17.9002,1,1,0,none
1,0.8559,Qm00000044,0,7682,0.257401,0.933481,0.9335,0.6850,0.2485,delta,Qm00000023,Qm00000024,0.6244,0.0000,74.5680,3.4914,171.0766,9.7861,1,1,0,none
1,0.8559,Qm00000044,1,6725,0.153731,0.956684,0.9567,0.4200,0.5367,delta,Qm00000025,Qm00000026,0.5747,0.0000,39.7072,2.7941,136.9130,9.5158,1,1,0,none
1,0.8559,Qm00000044,2,1321,0.177095,0.952157,0.9522,0.5952,0.3570,delta,Qm00000027,Qm00000028,0.5000,0.0000,26.4848,2.5297,123.9551,9.2362,1,1,0,none
1,0.8559,Qm00000044,3,9621,0.273902,0.924353,0.9244,0.7267,0.1977,delta,Qm00000029,Qm00000030,0.5000,0.0000,30.6636,2.6133,128.0504,9.5158,1,1,0,none
1,0.8559,Qm00000044,4,5106,0.200000,0.945789,0.9458,0.5451,0.4007,delta,Qm00000031,Qm00000032,0.5255,0.0000,27.9240,2.5585,125.3655,9.5265,1,1,0,none
1,0.8559,Qm00000044,5,4853,0.231015,0.933649,0.9336,0.6913,0.2423,delta,Qm00000033,Qm00000034,0.2893,0.0000,24.3958,2.4879,121.9079,9.4169,1,1,0,none
1,0.8559,Qm00000044,6,2291,0.295053,0.924051,0.9241,0.6928,0.2313,delta,Qm00000035,Qm00000036,0.0820,0.0000,18.4801,2.3696,116.1105,9.0598,1,1,0,none
1,0.8559,Qm00000044,7,11672,0.258515,0.927082,0.9271,0.7047,0.2224,delta,Qm00000037,Qm00000038,0.5154,0.0000,27.4612,2.5492,124.9119,9.7866,1,1,0,none
1,0.8559,Qm00000044,8,7419,0.199179,0.942620,0.9426,0.6391,0.3035,delta,Qm00000039,Qm00000040,0.8451,0.0000,27.6993,2.5540,125.1453,9.9995,1,1,0,none
1,0.8559,Qm00000044,9,3310,0.265079,0.927674,0.9277,0.5384,0.3893,delta,Qm00000041,Qm00000042,0.0346,0.0000,16.5406,2.3308,114.2098,8.9501,1,1,0,none
2,0.8789,Qm00000066,0,7682,0.228403,0.938558,0.9386,0.7113,0.2273,delta,Qm00000045,Qm00000046,0.6112,0.0000,74.5680,3.4215,167.6551,4.8930,1,1,0,none
2,0.8789,Qm00000066,1,6725,0.139596,0.959509,0.9595,0.5030,0.4565,delta,Qm00000047,Qm00000048,0.6000,0.0000,39.7072,2.7383,134.1748,4.7579,1,1,0,none
2,0.8789,Qm00000066,2,1321,0.148063,0.959879,0.9599,0.7018,0.2581,delta,Qm00000049,Qm00000050,0.5000,0.0000,26.4848,2.4791,121.4760,4.6181,1,1,0,none
2,0.8789,Qm00000066,3,9621,0.246807,0.930101,0.9301,0.7482,0.1819,delta,Qm00000051,Qm00000052,0.5000,0.0000,30.6636,2.5610,125.4894,4.7579,1,1,0,none
2,0.8789,Qm00000066,4,5106,0.177685,0.951547,0.9515,0.6197,0.3318,delta,Qm00000053,Qm00000054,0.5322,0.0000,27.9240,2.5073,122.8582,4.7632,1,1,0,none
2,0.8789,Qm00000066,5,4853,0.207537,0.939707,0.9397,0.7246,0.2151,delta,Qm00000055,Qm00000056,0.2028,0.0000,24.3958,2.4382,119.4697,4.7084,1,1,0,none
2,0.8789,Qm00000066,6,2291,0.249361,0.928896,0.9289,0.7433,0.1856,delta,Qm00000057,Qm00000058,0.0187,0.0000,18.4801,2.3222,113.7883,4.5299,1,1,0,none
2,0.8789,Qm00000066,7,11672,0.235412,0.932557,0.9326,0.7153,0.2173,delta,Qm00000059,Qm00000060,0.5000,0.0000,27.4612,2.4982,122.4137,4.8933,1,1,0,none
