round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7596,Qm00000022,0,7682,0.354140,0.912549,0.9125,0.6470,0.2655,delta,Qm00000001,Qm00000002,0.7295,74.5680,74.5680,0.0000,174.5680,19.5538,1,1,0,none
0,0.7596,Qm00000022,1,6725,0.204018,0.944401,0.9444,0.3451,0.5993,delta,Qm00000003,Qm00000004,0.5000,39.8677,39.8677,0.0000,139.8677,19.0315,1,1,0,none
0,0.7596,Qm00000022,2,1321,0.343471,0.910825,0.9108,0.3927,0.5181,delta,Qm00000005,Qm00000006,0.2381,25.5727,25.5727,0.0000,125.5727,18.3994,1,1,0,none
0,0.7596,Qm00000022,3,9621,0.364231,0.899366,0.8994,0.7042,0.1952,delta,Qm00000007,Qm00000008,0.5000,30.9452,30.9452,0.0000,130.9452,19.0315,1,1,0,none
0,0.7596,Qm00000022,4,5106,0.287722,0.923169,0.9232,0.4724,0.4508,delta,Qm00000009,Qm00000010,0.5086,28.0949,28.0949,0.0000,128.0949,19.0516,1,1,0,none
0,0.7596,Qm00000022,5,4853,0.350892,0.900556,0.9006,0.5985,0.3021,delta,Qm00000011,Qm00000012,0.3997,24.2120,24.2120,0.0000,124.2120,18.7931,1,1,0,none
0,0.7596,Qm00000022,6,2291,0.494278,0.880882,0.8809,0.6186,0.2623,delta,Qm00000013,Qm00000014,0.1275,18.5663,18.5663,0.0000,118.5663,18.1253,1,1,0,none
0,0.7596,Qm00000022,7,11672,0.330108,0.907916,0.9079,0.6786,0.2293,delta,Qm00000015,Qm00000016,0.7371,27.6082,27.6082,0.0000,127.6082,19.5705,1,1,0,none
0,0.7596,Qm00000022,8,7419,0.293076,0.920636,0.9206,0.5950,0.3256,delta,Qm00000017,Qm00000018,0.9428,27.8573,27.8573,0.0000,127.8573,20.0036,1,1,0,none
0,0.7596,Qm00000022,9,3310,0.415591,0.890393,0.8904,0.4194,0.4710,delta,Qm00000019,Qm00000020,0.0423,16.6065,16.6065,0.0000,116.6065,17.9126,1,1,0,none
1,0.8574,Qm00000044,0,7682,0.257772,0.932908,0.9329,0.6879,0.2450,delta,Qm00000023,Qm00000024,0.6152,0.0000,74.5680,3.4914,171.0766,9.7769,1,1,0,none
1,0.8574,Qm00000044,1,6725,0.154894,0.956283,0.9563,0.4213,0.5350,delta,Qm00000025,Qm00000026,0.5744,0.0000,39.8677,2.7974,137.0704,9.5158,1,1,0,none
1,0.8574,Qm00000044,2,1321,0.178875,0.953066,0.9531,0.5934,0.3597,delta,Qm00000027,Qm00000028,0.5000,0.0000,25.5727,2.5115,123.0613,9.1997,1,1,0,none
1,0.8574,Qm00000044,3,9621,0.273823,0.924353,0.9244,0.7225,0.2019,delta,Qm00000029,Qm00000030,0.5000,0.0000,30.9452,2.6189,128.3263,9.5158,1,1,0,none
1,0.8574,Qm00000044,4,5106,0.199883,0.946044,0.9460,0.5370,0.4090,delta,Qm00000031,Qm00000032,0.5258,0.0000,28.0949,2.5619,125.5330,9.5258,1,1,0,none
1,0.8574,Qm00000044,5,4853,0.232124,0.932619,0.9326,0.6863,0.2463,delta,Qm00000033,Qm00000034,0.2647,0.0000,24.2120,2.4842,121.7277,9.3966,1,1,0,none
1,0.8574,Qm00000044,6,2291,0.296163,0.923265,0.9233,0.6932,0.2301,delta,Qm00000035,Qm00000036,0.0726,0.0000,18.5663,2.3713,116.1950,9.0626,1,1,0,none
1,0.8574,Qm00000044,7,11672,0.258825,0.927579,0.9276,0.7087,0.2189,delta,Qm00000037,Qm00000038,0.5234,0.0000,27.6082,2.5522,125.0560,9.7853,1,1,0,none
