round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7685,Qm00000022,0,7682,0.354092,0.912809,0.9128,0.6529,0.2599,delta,Qm00000001,Qm00000002,0.7284,0.0000,74.5680,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,1,6725,0.203161,0.944535,0.9445,0.3481,0.5964,delta,Qm00000003,Qm00000004,0.5000,0.0000,39.8886,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,2,1321,0.340121,0.912793,0.9128,0.3907,0.5221,delta,Qm00000005,Qm00000006,0.2755,0.0000,26.7984,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,3,9621,0.363182,0.899990,0.9000,0.6809,0.2191,delta,Qm00000007,Qm00000008,0.5000,0.0000,30.6757,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,4,5106,0.286163,0.923874,0.9239,0.4699,0.4540,delta,Qm00000009,Qm00000010,0.5074,0.0000,27.9004,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,5,4853,0.348127,0.902493,0.9025,0.6021,0.3004,delta,Qm00000011,Qm00000012,0.4244,0.0000,24.5375,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,6,2291,0.493233,0.881275,0.8813,0.6175,0.2638,delta,Qm00000013,Qm00000014,0.1310,0.0000,18.5814,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,7,11672,0.329773,0.908113,0.9081,0.6880,0.2201,delta,Qm00000015,Qm00000016,0.7319,0.0000,27.3514,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,8,7419,0.292701,0.920313,0.9203,0.5937,0.3266,delta,Qm00000017,Qm00000018,0.9504,0.0000,27.7875,2.0000,98.0000,5.0000,1,1,0,none
0,0.7685,Qm00000022,9,3310,0.413763,0.892568,0.8926,0.4195,0.4731,delta,Qm00000019,Qm00000020,0.0393,0.0000,16.5637,2.0000,98.0000,5.0000,1,1,0,none
