round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7642,Qm00000022,0,7682,0.355437,0.912926,0.9129,0.6518,0.2611,delta,Qm00000001,Qm00000002,0.7406,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,1,6725,0.203621,0.944639,0.9446,0.3468,0.5978,delta,Qm00000003,Qm00000004,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,2,1321,0.342197,0.908478,0.9085,0.3923,0.5162,delta,Qm00000005,Qm00000006,0.2145,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,3,9621,0.364677,0.898441,0.8984,0.7063,0.1921,delta,Qm00000007,Qm00000008,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,4,5106,0.288487,0.923404,0.9234,0.4661,0.4573,delta,Qm00000009,Qm00000010,0.5070,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,5,4853,0.352218,0.901422,0.9014,0.5942,0.3072,delta,Qm00000011,Qm00000012,0.4187,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,6,2291,0.496394,0.877957,0.8780,0.6176,0.2604,delta,Qm00000013,Qm00000014,0.1249,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,7,11672,0.330887,0.907531,0.9075,0.6866,0.2209,delta,Qm00000015,Qm00000016,0.7373,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,8,7419,0.293116,0.919881,0.9199,0.5940,0.3259,delta,Qm00000017,Qm00000018,0.9420,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7642,Qm00000022,9,3310,0.416141,0.890060,0.8901,0.4131,0.4770,delta,Qm00000019,Qm00000020,0.0429,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
1,0.8589,Qm00000044,0,7682,0.257785,0.933390,0.9334,0.6899,0.2435,delta,Qm00000023,Qm00000024,0.6312,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,1,6725,0.154112,0.956461,0.9565,0.4198,0.5367,delta,Qm00000025,Qm00000026,0.5738,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,2,1321,0.177935,0.952233,0.9522,0.5916,0.3606,delta,Qm00000027,Qm00000028,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,3,9621,0.274100,0.924447,0.9244,0.7301,0.1943,delta,Qm00000029,Qm00000030,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,4,5106,0.200518,0.945613,0.9456,0.5383,0.4073,delta,Qm00000031,Qm00000032,0.5204,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,5,4853,0.232256,0.932166,0.9322,0.6891,0.2431,delta,Qm00000033,Qm00000034,0.2697,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,6,2291,0.297245,0.922828,0.9228,0.6934,0.2294,delta,Qm00000035,Qm00000036,0.0852,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,7,11672,0.258881,0.927039,0.9270,0.7092,0.2178,delta,Qm00000037,Qm00000038,0.5238,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,8,7419,0.198676,0.942755,0.9428,0.6442,0.2986,delta,Qm00000039,Qm00000040,0.8428,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8589,Qm00000044,9,3310,0.265980,0.926435,0.9264,0.5570,0.3694,delta,Qm00000041,Qm00000042,0.0323,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
2,0.8804,Qm00000066,0,7682,0.228452,0.938584,0.9386,0.7153,0.2233,delta,Qm00000045,Qm00000046,0.6097,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,1,6725,0.139728,0.959450,0.9594,0.4978,0.4616,delta,Qm00000047,Qm00000048,0.6000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,2,1321,0.149051,0.958895,0.9589,0.6995,0.2594,delta,Qm00000049,Qm00000050,0.5000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,3,9621,0.246784,0.930163,0.9302,0.7520,0.1782,delta,Qm00000051,Qm00000052,0.5000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,4,5106,0.178060,0.951351,0.9514,0.6325,0.3189,delta,Qm00000053,Qm00000054,0.5236,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,5,4853,0.207826,0.939975,0.9400,0.7181,0.2219,delta,Qm00000055,Qm00000056,0.2076,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,6,2291,0.250936,0.928241,0.9282,0.7448,0.1834,delta,Qm00000057,Qm00000058,0.0288,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,7,11672,0.235669,0.932385,0.9324,0.7175,0.2149,delta,Qm00000059,Qm00000060,0.5000,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,8,7419,0.173411,0.948133,0.9481,0.6878,0.2603,delta,Qm00000061,Qm00000062,0.8021,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
2,0.8804,Qm00000066,9,3310,0.229388,0.934804,0.9348,0.6283,0.3065,delta,Qm00000063,Qm00000064,0.1129,0.0000,0.0000,1.9208,94.1192,1.2500,1,1,0,none
