round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7700,Qm00000022,0,7682,0.353358,0.913603,0.9136,0.6521,0.2615,delta,Qm00000001,Qm00000002,0.7379,74.5680,74.5680,0.0000,174.5680,19.5724,1,1,0,none
0,0.7700,Qm00000022,1,6725,0.202340,0.945160,0.9452,0.3482,0.5970,delta,Qm00000003,Qm00000004,0.5000,39.7049,39.7049,0.0000,139.7049,19.0315,1,1,0,none
0,0.7700,Qm00000022,2,1321,0.339431,0.913096,0.9131,0.3916,0.5215,delta,Qm00000005,Qm00000006,0.2767,26.7664,26.7664,0.0000,126.7664,18.4942,1,1,0,none
0,0.7700,Qm00000022,3,9621,0.363184,0.899948,0.8999,0.7002,0.1997,delta,Qm00000007,Qm00000008,0.5000,30.5984,30.5984,0.0000,130.5984,19.0315,1,1,0,none
0,0.7700,Qm00000022,4,5106,0.285485,0.923776,0.9238,0.4669,0.4569,delta,Qm00000009,Qm00000010,0.5087,27.8730,27.8730,0.0000,127.8730,19.0518,1,1,0,none
0,0.7700,Qm00000022,5,4853,0.348940,0.902349,0.9023,0.5964,0.3059,delta,Qm00000011,Qm00000012,0.4273,24.5522,24.5522,0.0000,124.5522,18.8591,1,1,0,none
0,0.7700,Qm00000022,6,2291,0.492627,0.881231,0.8812,0.6184,0.2628,delta,Qm00000013,Qm00000014,0.1448,18.8192,18.8192,0.0000,118.8192,18.1683,1,1,0,none
0,0.7700,Qm00000022,7,11672,0.329282,0.908131,0.9081,0.6902,0.2179,delta,Qm00000015,Qm00000016,0.7299,27.2424,27.2424,0.0000,127.2424,19.5547,1,1,0,none
0,0.7700,Qm00000022,8,7419,0.292181,0.920704,0.9207,0.5957,0.3250,delta,Qm00000017,Qm00000018,0.9462,27.6812,27.6812,0.0000,127.6812,20.0104,1,1,0,none
0,0.7700,Qm00000022,9,3310,0.411596,0.892296,0.8923,0.4169,0.4754,delta,Qm00000019,Qm00000020,0.0323,16.4763,16.4763,0.0000,116.4763,17.8876,1,1,0,none
1,0.8607,Qm00000044,0,7682,0.257328,0.933025,0.9330,0.6920,0.2410,delta,Qm00000023,Qm00000024,0.6258,0.0000,74.5680,3.4914,171.0766,9.7862,1,1,0,none
1,0.8607,Qm00000044,1,6725,0.153876,0.956491,0.9565,0.4226,0.5339,delta,Qm00000025,Qm00000026,0.5746,0.0000,39.7049,2.7941,136.9108,9.5158,1,1,0,none
1,0.8607,Qm00000044,2,1321,0.177545,0.953899,0.9539,0.5939,0.3600,delta,Qm00000027,Qm00000028,0.5000,0.0000,26.7664,2.5353,124.2310,9.2471,1,1,0,none
1,0.8607,Qm00000044,3,9621,0.273741,0.924259,0.9243,0.7352,0.1891,delta,Qm00000029,Qm00000030,0.5000,0.0000,30.5984,2.6120,127.9864,9.5158,1,1,0,none
1,0.8607,Qm00000044,4,5106,0.199191,0.945319,0.9453,0.5348,0.4105,delta,Qm00000031,Qm00000032,0.5243,0.0000,27.8730,2.5575,125.3155,9.5259,1,1,0,none
1,0.8607,Qm00000044,5,4853,0.230882,0.932351,0.9324,0.6816,0.2508,delta,Qm00000033,Qm00000034,0.2802,0.0000,24.5522,2.4910,122.0612,9.4296,1,1,0,none
1,0.8607,Qm00000044,6,2291,0.294728,0.923527,0.9235,0.6900,0.2335,delta,Qm00000035,Qm00000036,0.0813,0.0000,18.8192,2.3764,116.4428,9.0841,1,1,0,none
1,0.8607,Qm00000044,7,11672,0.258243,0.927288,0.9273,0.7045,0.2228,delta,Qm00000037,Qm00000038,0.5276,0.0000,27.2424,2.5448,124.6976,9.7773,1,1,0,none
1,0.8607,Qm00000044,8,7419,0.199011,0.942634,0.9426,0.6432,0.2994,delta,Qm00000039,Qm00000040,0.8431,0.0000,27.6812,2.5536,125.1276,10.0052,1,1,0,none
1,0.8607,Qm00000044,9,3310,0.265203,0.926375,0.9264,0.5480,0.3784,delta,Qm00000041,Qm00000042,0.0289,0.0000,16.4763,2.3295,114.1468,8.9438,1,1,0,none
2,0.8802,Qm00000066,0,7682,0.228272,0.938310,0.9383,0.7113,0.2270,delta,Qm00000045,Qm00000046,0.6077,0.0000,74.5680,3.4215,167.6551,4.8931,1,1,0,none
2,0.8802,Qm00000066,1,6725,0.139760,0.959108,0.9591,0.5012,0.4579,delta,Qm00000047,Qm00000048,0.6000,0.0000,39.7049,2.7382,134.1726,4.7579,1,1,0,none
2,0.8802,Qm00000066,2,1321,0.149260,0.959198,0.9592,0.6952,0.2640,delta,Qm00000049,Qm00000050,0.5000,0.0000,26.7664,2.4846,121.7464,4.6236,1,1,0,none
2,0.8802,Qm00000066,3,9621,0.246999,0.930215,0.9302,0.7473,0.1829,delta,Qm00000051,Qm00000052,0.5000,0.0000,30.5984,2.5597,125.4267,4.7579,1,1,0,none
2,0.8802,Qm00000066,4,5106,0.177514,0.951586,0.9516,0.6263,0.3253,delta,Qm00000053,Qm00000054,0.5250,0.0000,27.8730,2.5063,122.8092,4.7630,1,1,0,none
2,0.8802,Qm00000066,5,4853,0.207070,0.939769,0.9398,0.7237,0.2161,delta,Qm00000055,Qm00000056,0.2082,0.0000,24.5522,2.4412,119.6199,4.7148,1,1,0,none
2,0.8802,Qm00000066,6,2291,0.249254,0.928765,0.9288,0.7436,0.1852,delta,Qm00000057,Qm00000058,0.0319,0.0000,18.8192,2.3289,114.1140,4.5421,1,1,0,none
2,0.8802,Qm00000066,7,11672,0.235103,0.932351,0.9324,0.7157,0.2167,delta,Qm00000059,Qm00000060,0.5000,0.0000,27.2424,2.4940,122.2036,4.8887,1,1,0,none
2,0.8802,Qm00000066,8,7419,0.173763,0.947918,0.9479,0.6865,0.2614,delta,Qm00000061,Qm00000062,0.8177,0.0000,27.6812,2.5026,122.6250,5.0026,1,1,0,none
2,0.8802,Qm00000066,9,3310,0.229377,0.933746,0.9337,0.6239,0.3098,delta,Qm00000063,Qm00000064,0.1017,0.0000,16.4763,2.2829,111.8639,4.4719,1,1,0,none
3,0.8880,Qm00000088,0,7682,0.213445,0.941083,0.9411,0.7360,0.2051,delta,Qm00000067,Qm00000068,0.6018,0.0000,74.5680,3.3531,164.3020,2.4465,1,1,0,none
3,0.8880,Qm00000088,1,6725,0.132288,0.961279,0.9613,0.5620,0.3993,delta,Qm00000069,Qm00000070,0.6307,0.0000,39.7049,2.6835,131.4892,2.3789,1,1,0,none
3,0.8880,Qm00000088,2,1321,0.139854,0.960712,0.9607,0.7456,0.2151,delta,Qm00000071,Qm00000072,0.5000,0.0000,26.7664,2.4349,119.3115,2.3118,1,1,0,none
3,0.8880,Qm00000088,3,9621,0.233221,0.933333,0.9333,0.7627,0.1706,delta,Qm00000073,Qm00000074,0.5000,0.0000,30.5984,2.5085,122.9182,2.3789,1,1,0,none
