round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7656,Qm00000022,0,7682,0.355256,0.913330,0.9133,0.6507,0.2626,delta,Qm00000001,Qm00000002,0.7458,74.5680,74.5680,0.0000,174.5680,19.5896,1,1,0,none
0,0.7656,Qm00000022,1,6725,0.202961,0.944862,0.9449,0.3470,0.5979,delta,Qm00000003,Qm00000004,0.5000,39.5560,39.5560,0.0000,139.5560,19.0315,1,1,0,none
0,0.7656,Qm00000022,2,1321,0.344933,0.910977,0.9110,0.3972,0.5138,delta,Qm00000005,Qm00000006,0.2431,25.6334,25.6334,0.0000,125.6334,18.4118,1,1,0,none
0,0.7656,Qm00000022,3,9621,0.365012,0.898992,0.8990,0.6900,0.2090,delta,Qm00000007,Qm00000008,0.5000,30.7858,30.7858,0.0000,130.7858,19.0315,1,1,0,none
0,0.7656,Qm00000022,4,5106,0.288136,0.924109,0.9241,0.4650,0.4591,delta,Qm00000009,Qm00000010,0.5082,27.9855,27.9855,0.0000,127.9855,19.0507,1,1,0,none
0,0.7656,Qm00000022,5,4853,0.351302,0.901154,0.9012,0.5979,0.3033,delta,Qm00000011,Qm00000012,0.4201,24.5062,24.5062,0.0000,124.5062,18.8421,1,1,0,none
0,0.7656,Qm00000022,6,2291,0.497165,0.878656,0.8787,0.6177,0.2610,delta,Qm00000013,Qm00000014,0.1358,18.6848,18.6848,0.0000,118.6848,18.1459,1,1,0,none
0,0.7656,Qm00000022,7,11672,0.331669,0.907068,0.9071,0.6939,0.2132,delta,Qm00000015,Qm00000016,0.7255,27.3130,27.3130,0.0000,127.3130,19.5452,1,1,0,none
0,0.7656,Qm00000022,8,7419,0.294268,0.919908,0.9199,0.5875,0.3324,delta,Qm00000017,Qm00000018,0.9505,27.8381,27.8381,0.0000,127.8381,20.0191,1,1,0,none
0,0.7656,Qm00000022,9,3310,0.414575,0.890423,0.8904,0.4185,0.4719,delta,Qm00000019,Qm00000020,0.0330,16.4884,16.4884,0.0000,116.4884,17.8894,1,1,0,none
1,0.8619,Qm00000044,0,7682,0.257393,0.933845,0.9338,0.6871,0.2467,delta,Qm00000023,Qm00000024,0.6387,0.0000,74.5680,3.4914,171.0766,9.7948,1,1,0,none
1,0.8619,Qm00000044,1,6725,0.153717,0.957026,0.9570,0.4175,0.5395,delta,Qm00000025,Qm00000026,0.5732,0.0000,39.5560,2.7911,136.7649,9.5158,1,1,0,none
1,0.8619,Qm00000044,2,1321,0.178478,0.951703,0.9517,0.5935,0.3582,delta,Qm00000027,Qm00000028,0.5000,0.0000,25.6334,2.5127,123.1207,9.2059,1,1,0,none
1,0.8619,Qm00000044,3,9621,0.274169,0.924114,0.9241,0.7353,0.1888,delta,Qm00000029,Qm00000030,0.5000,0.0000,30.7858,2.6157,128.1701,9.5158,1,1,0,none
1,0.8619,Qm00000044,4,5106,0.199620,0.945476,0.9455,0.5333,0.4122,delta,Qm00000031,Qm00000032,0.5244,0.0000,27.9855,2.5597,125.4258,9.5254,1,1,0,none
1,0.8619,Qm00000044,5,4853,0.231537,0.932681,0.9327,0.6827,0.2500,delta,Qm00000033,Qm00000034,0.2783,0.0000,24.5062,2.4901,122.0161,9.4211,1,1,0,none
1,0.8619,Qm00000044,6,2291,0.295974,0.923178,0.9232,0.6869,0.2363,delta,Qm00000035,Qm00000036,0.0778,0.0000,18.6848,2.3737,116.3111,9.0730,1,1,0,none
1,0.8619,Qm00000044,7,11672,0.259252,0.926508,0.9265,0.7041,0.2224,delta,Qm00000037,Qm00000038,0.5137,0.0000,27.3130,2.5463,124.7667,9.7726,1,1,0,none
1,0.8619,Qm00000044,8,7419,0.199326,0.942661,0.9427,0.6403,0.3024,delta,Qm00000039,Qm00000040,0.8480,0.0000,27.8381,2.5568,125.2813,10.0095,1,1,0,none
1,0.8619,Qm00000044,9,3310,0.265130,0.927039,0.9270,0.5455,0.3815,delta,Qm00000041,Qm00000042,0.0321,0.0000,16.4884,2.3298,114.1587,8.9447,1,1,0,none
2,0.8823,Qm00000066,0,7682,0.228249,0.938454,0.9385,0.7144,0.2241,delta,Qm00000045,Qm00000046,0.6073,0.0000,74.5680,3.4215,167.6551,4.8974,1,1,0,none
2,0.8823,Qm00000066,1,6725,0.139444,0.959732,0.9597,0.5003,0.4594,delta,Qm00000047,Qm00000048,0.6000,0.0000,39.5560,2.7353,134.0296,4.7579,1,1,0,none
2,0.8823,Qm00000066,2,1321,0.149453,0.958819,0.9588,0.6975,0.2613,delta,Qm00000049,Qm00000050,0.5000,0.0000,25.6334,2.4624,120.6583,4.6029,1,1,0,none
2,0.8823,Qm00000066,3,9621,0.246783,0.929893,0.9299,0.7440,0.1859,delta,Qm00000051,Qm00000052,0.5000,0.0000,30.7858,2.5634,125.6067,4.7579,1,1,0,none
2,0.8823,Qm00000066,4,5106,0.177184,0.952546,0.9525,0.6234,0.3291,delta,Qm00000053,Qm00000054,0.5299,0.0000,27.9855,2.5085,122.9173,4.7627,1,1,0,none
2,0.8823,Qm00000066,5,4853,0.207241,0.939625,0.9396,0.7126,0.2270,delta,Qm00000055,Qm00000056,0.2006,0.0000,24.5062,2.4403,119.5757,4.7105,1,1,0,none
2,0.8823,Qm00000066,6,2291,0.250131,0.929070,0.9291,0.7442,0.1849,delta,Qm00000057,Qm00000058,0.0205,0.0000,18.6848,2.3262,113.9849,4.5365,1,1,0,none
2,0.8823,Qm00000066,7,11672,0.235742,0.932197,0.9322,0.7135,0.2187,delta,Qm00000059,Qm00000060,0.5000,0.0000,27.3130,2.4953,122.2714,4.8863,1,1,0,none
