round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7703,Qm00000022,0,7682,0.353403,0.914150,0.9141,0.6532,0.2609,delta,Qm00000001,Qm00000002,0.7363,74.5680,74.5680,0.0000,174.5680,19.5688,1,1,0,none
0,0.7703,Qm00000022,1,6725,0.203163,0.945145,0.9451,0.3488,0.5963,delta,Qm00000003,Qm00000004,0.5004,39.7479,39.7479,0.0000,139.7479,19.0325,1,1,0,none
0,0.7703,Qm00000022,2,1321,0.341979,0.912869,0.9129,0.3931,0.5198,delta,Qm00000005,Qm00000006,0.2538,26.0427,26.0427,0.0000,126.0427,18.4381,1,1,0,none
0,0.7703,Qm00000022,3,9621,0.361905,0.900925,0.9009,0.6886,0.2123,delta,Qm00000007,Qm00000008,0.5000,30.7742,30.7742,0.0000,130.7742,19.0315,1,1,0,none
0,0.7703,Qm00000022,4,5106,0.286610,0.924696,0.9247,0.4698,0.4549,delta,Qm00000009,Qm00000010,0.5072,27.9595,27.9595,0.0000,127.9595,19.0484,1,1,0,none
0,0.7703,Qm00000022,5,4853,0.348276,0.901916,0.9019,0.5835,0.3184,delta,Qm00000011,Qm00000012,0.4038,24.2231,24.2231,0.0000,124.2231,18.8030,1,1,0,none
0,0.7703,Qm00000022,6,2291,0.492121,0.881536,0.8815,0.6218,0.2597,delta,Qm00000013,Qm00000014,0.1358,18.6985,18.6985,0.0000,118.6985,18.1460,1,1,0,none
0,0.7703,Qm00000022,7,11672,0.329080,0.907874,0.9079,0.6885,0.2194,delta,Qm00000015,Qm00000016,0.7149,27.2262,27.2262,0.0000,127.2262,19.5218,1,1,0,none
0,0.7703,Qm00000022,8,7419,0.291338,0.921027,0.9210,0.5894,0.3316,delta,Qm00000017,Qm00000018,0.9491,27.8900,27.8900,0.0000,127.8900,20.0163,1,1,0,none
0,0.7703,Qm00000022,9,3310,0.412226,0.891692,0.8917,0.4098,0.4819,delta,Qm00000019,Qm00000020,0.0287,16.4380,16.4380,0.0000,116.4380,17.8786,1,1,0,none
1,0.8588,Qm00000044,0,7682,0.257811,0.932674,0.9327,0.6879,0.2448,delta,Qm00000023,Qm00000024,0.6116,0.0000,74.5680,3.4914,171.0766,9.7844,1,1,0,none
1,0.8588,Qm00000044,1,6725,0.154644,0.956327,0.9563,0.4213,0.5350,delta,Qm00000025,Qm00000026,0.5754,0.0000,39.7479,2.7950,136.9529,9.5162,1,1,0,none
1,0.8588,Qm00000044,2,1321,0.178525,0.952082,0.9521,0.5913,0.3608,delta,Qm00000027,Qm00000028,0.5000,0.0000,26.0427,2.5209,123.5218,9.2190,1,1,0,none
1,0.8588,Qm00000044,3,9621,0.273343,0.924644,0.9246,0.7283,0.1963,delta,Qm00000029,Qm00000030,0.5000,0.0000,30.7742,2.6155,128.1587,9.5158,1,1,0,none
1,0.8588,Qm00000044,4,5106,0.199496,0.946455,0.9465,0.5372,0.4093,delta,Qm00000031,Qm00000032,0.5242,0.0000,27.9595,2.5592,125.4003,9.5242,1,1,0,none
