round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7670,Qm00000022,0,7682,0.354166,0.913499,0.9135,0.6533,0.2602,delta,Qm00000001,Qm00000002,0.7443,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,1,6725,0.203043,0.945160,0.9452,0.3477,0.5975,delta,Qm00000003,Qm00000004,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,2,1321,0.343402,0.913096,0.9131,0.3869,0.5262,delta,Qm00000005,Qm00000006,0.2743,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,3,9621,0.363885,0.899574,0.8996,0.6996,0.2000,delta,Qm00000007,Qm00000008,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,4,5106,0.286769,0.924168,0.9242,0.4648,0.4594,delta,Qm00000009,Qm00000010,0.5058,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,5,4853,0.350281,0.901813,0.9018,0.5925,0.3093,delta,Qm00000011,Qm00000012,0.4113,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,6,2291,0.494756,0.879005,0.8790,0.6190,0.2600,delta,Qm00000013,Qm00000014,0.1400,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,7,11672,0.330196,0.908011,0.9080,0.6863,0.2217,delta,Qm00000015,Qm00000016,0.7356,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,8,7419,0.293409,0.920030,0.9200,0.5904,0.3296,delta,Qm00000017,Qm00000018,0.9461,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7670,Qm00000022,9,3310,0.416039,0.889335,0.8893,0.4234,0.4659,delta,Qm00000019,Qm00000020,0.0487,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
1,0.8582,Qm00000044,0,7682,0.257368,0.933832,0.9338,0.6858,0.2480,delta,Qm00000023,Qm00000024,0.6274,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,1,6725,0.154018,0.956848,0.9568,0.4216,0.5352,delta,Qm00000025,Qm00000026,0.5746,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,2,1321,0.178888,0.952839,0.9528,0.5945,0.3583,delta,Qm00000027,Qm00000028,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,3,9621,0.273459,0.924519,0.9245,0.7290,0.1955,delta,Qm00000029,Qm00000030,0.5000,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,4,5106,0.199730,0.946122,0.9461,0.5347,0.4114,delta,Qm00000031,Qm00000032,0.5234,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
1,0.8582,Qm00000044,5,4853,0.230904,0.932846,0.9328,0.6942,0.2386,delta,Qm00000033,Qm00000034,0.2705,0.0000,0.0000,1.9600,96.0400,2.5000,1,1,0,none
