round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7693,Qm00000022,0,7682,0.355377,0.911833,0.9118,0.6510,0.2608,delta,Qm00000001,Qm00000002,0.7188,0.0000,74.5680,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,1,6725,0.204063,0.944952,0.9450,0.3480,0.5970,delta,Qm00000003,Qm00000004,0.5000,0.0000,40.0759,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,2,1321,0.345133,0.910522,0.9105,0.3887,0.5218,delta,Qm00000005,Qm00000006,0.2326,0.0000,25.4563,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,3,9621,0.364650,0.898981,0.8990,0.6973,0.2017,delta,Qm00000007,Qm00000008,0.5000,0.0000,31.0685,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,4,5106,0.288024,0.923423,0.9234,0.4646,0.4588,delta,Qm00000009,Qm00000010,0.5072,0.0000,28.1475,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,5,4853,0.351237,0.901566,0.9016,0.5918,0.3098,delta,Qm00000011,Qm00000012,0.4200,0.0000,24.6165,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,6,2291,0.497133,0.876997,0.8770,0.6210,0.2560,delta,Qm00000013,Qm00000014,0.1312,0.0000,18.6335,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,7,11672,0.330621,0.907685,0.9077,0.6885,0.2192,delta,Qm00000015,Qm00000016,0.7365,0.0000,27.5807,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,8,7419,0.294318,0.920569,0.9206,0.5918,0.3288,delta,Qm00000017,Qm00000018,0.9448,0.0000,27.8620,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,9,3310,0.416389,0.890211,0.8902,0.4187,0.4715,delta,Qm00000019,Qm00000020,0.0393,0.0000,16.5690,2.0000,98.0000,5.0000,1,1,0,none
1,0.8605,Qm00000044,0,7682,0.257521,0.933077,0.9331,0.6870,0.2461,delta,Qm00000023,Qm00000024,0.6223,0.0000,106.6707,1.9600,96.0400,2.5000,1,1,0,none
1,0.8605,Qm00000044,1,6725,0.154376,0.956996,0.9570,0.4196,0.5374,delta,Qm00000025,Qm00000026,0.5755,0.0000,68.8943,1.9600,96.0400,2.5000,1,1,0,none
1,0.8605,Qm00000044,2,1321,0.178015,0.952687,0.9527,0.5866,0.3661,delta,Qm00000027,Qm00000028,0.5000,0.0000,49.8757,1.9600,96.0400,2.5000,1,1,0,none
1,0.8605,Qm00000044,3,9621,0.273852,0.924654,0.9247,0.7342,0.1905,delta,Qm00000029,Qm00000030,0.5000,0.0000,58.3158,1.9600,96.0400,2.5000,1,1,0,none
1,0.8605,Qm00000044,4,5106,0.199754,0.945417,0.9454,0.5407,0.4047,delta,Qm00000031,Qm00000032,0.5239,0.0000,55.7130,1.9600,96.0400,2.5000,1,1,0,none
1,0.8605,Qm00000044,5,4853,0.231638,0.933093,0.9331,0.6858,0.2473,delta,Qm00000033,Qm00000034,0.2748,0.0000,48.5742,1.9600,96.0400,2.5000,1,1,0,none
1,0.8605,Qm00000044,6,2291,0.296272,0.922785,0.9228,0.6879,0.2349,delta,Qm00000035,Qm00000036,0.0735,0.0000,37.0558,1.9600,96.0400,2.5000,1,1,0,none
