round,global_acc,manifest_cid,node_id,samples,loss,acc,claimed_acc,eval_acc,acc_diff,update_type,model_update_cid,metrics_cid,contrib_score,reward,balance,stake_penalty,stake,reputation,malicious_detected,committee,is_malicious,strategy
0,0.7693,Qm00000022,0,7682,0.354627,0.912965,0.9130,0.6497,0.2633,delta,Qm00000001,Qm00000002,0.7265,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,1,6725,0.203185,0.944848,0.9448,0.3475,0.5973,delta,Qm00000003,Qm00000004,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,2,1321,0.340229,0.913777,0.9138,0.3925,0.5213,delta,Qm00000005,Qm00000006,0.2880,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,3,9621,0.363264,0.899480,0.8995,0.7092,0.1903,delta,Qm00000007,Qm00000008,0.5000,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,4,5106,0.286179,0.924285,0.9243,0.4732,0.4511,delta,Qm00000009,Qm00000010,0.5073,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,5,4853,0.348580,0.902164,0.9022,0.5883,0.3139,delta,Qm00000011,Qm00000012,0.4221,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,6,2291,0.496880,0.878088,0.8781,0.6167,0.2614,delta,Qm00000013,Qm00000014,0.1406,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,7,11672,0.330285,0.907685,0.9077,0.6919,0.2158,delta,Qm00000015,Qm00000016,0.7242,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,8,7419,0.292232,0.920650,0.9206,0.5888,0.3318,delta,Qm00000017,Qm00000018,0.9448,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
0,0.7693,Qm00000022,9,3310,0.414963,0.890060,0.8901,0.4160,0.4741,delta,Qm00000019,Qm00000020,0.0410,0.0000,0.0000,2.0000,98.0000,5.0000,1,1,0,none
